STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
ODISHA,ANGUL,2005,41,46,28,0,28,15,15,0,5,135,0,61,0
ODISHA,BALASORE,2005,27,18,43,0,43,41,35,6,32,132,17,122,0
ODISHA,BARAGARH,2005,33,54,21,0,21,12,12,0,9,112,3,256,0
ODISHA,BERHAMPUR,2005,17,58,6,0,6,7,3,4,1,111,6,24,0
ODISHA,BHADRAK,2005,17,32,37,0,37,18,18,0,9,90,25,116,0
ODISHA,BOLANGIR,2005,39,80,37,0,37,40,32,8,11,126,10,22,0
ODISHA,BOUDH,2005,16,4,7,0,7,2,2,0,3,35,2,6,0
ODISHA,CUTTACK,2005,34,119,29,0,29,71,64,7,39,24,6,162,0
ODISHA,DEOGARH,2005,15,15,16,0,16,8,5,3,1,60,3,12,0
ODISHA,DHENKANAL,2005,36,56,8,0,8,12,9,3,20,139,9,34,0
ODISHA,GAJAPATI,2005,22,7,9,0,9,6,6,0,1,35,2,3,0
ODISHA,GANJAM,2005,56,66,26,0,26,25,12,13,28,179,10,92,0
ODISHA,JAGATSINGHPUR,2005,26,35,14,0,14,11,10,1,11,7,6,35,0
ODISHA,JAJPUR,2005,22,28,20,0,20,39,39,0,25,37,3,59,0
ODISHA,JHARSUGUDA,2005,12,14,19,0,19,6,5,1,1,52,3,22,0
ODISHA,KALAHANDI,2005,24,29,30,0,30,11,10,1,5,40,1,32,0
ODISHA,KANDHAMAL,2005,28,11,20,0,20,20,20,0,8,111,2,45,0
ODISHA,KENDRAPARA,2005,29,42,23,0,23,20,17,3,19,13,0,5,0
ODISHA,KEONJHAR,2005,72,64,36,0,36,21,21,0,12,89,15,20,0
ODISHA,KHURDA,2005,43,71,57,0,57,65,56,9,17,42,9,46,0
ODISHA,KORAPUT,2005,46,19,45,0,45,27,25,2,2,116,6,64,0
